Date,AC,PUMA,MFC,XIT,XRE,XMA,XMV,XDV,XMD,XSP,XIN,XCB,XSB,XLB
2013-02-14,-0.017167804,0,0.010464258,0.002824871,0.001156497,0.002365348,-0.004114018,-0.003138067,-0.002280716,0.00115139,-0.003169836,0.000470052,-0.000346794,0.004401177
2013-02-15,0.038221213,0,0.018206208,-0.008498667,-0.002314428,-0.022096931,0.000457495,-0.000449131,-0.00182813,-0.001727616,-0.001588555,0,0.001040383,-0.001758251
2013-02-19,0.020619287,0,0.000644117,0.011315582,0.002314428,-0.001813231,0.005479812,0.01338729,0.002741143,0.008608256,0.012114829,0.000938372,0.000692658,0
2013-02-20,-0.008196767,-0.054067221,-0.022136122,-0.012739075,-0.001735628,-0.035717847,0.003182059,-0.004888323,-0.011009889,-0.012651094,-0.003146017,0,0,0.000439529
2013-02-21,-0.046324072,0,-0.011920872,-0.005714323,0.000988143,0.00500275,-0.005918152,-0.004120325,-0.003233251,-0.006968479,-0.012685515,-0.000188728,-0.000104071,0.00233596
2013-02-22,0.008583744,0.054067221,0.009284009,-0.010079187,0.000580368,-0.002497968,0.003191234,0.004925196,0.00737643,0.009280711,0.013735356,0.00375574,0.001388246,0.005705608
2013-02-25,0.012739026,0,-0.020674315,0.005772044,-0.002324259,0.011193831,0.003180965,-0.00537405,0.000458846,-0.018060547,-0.023892853,0.002340801,0.001731951,0.006107677
2013-02-26,-0.004228336,-0.054067221,0.004034835,-0.010122914,0.000581476,0.009846428,-0.005459396,0,-0.005986134,0.006446019,0.011220802,0.001867987,0,0.000435272
2013-02-27,0.029229638,0.054067221,0.019276343,0.008683285,-0.002327649,-0.003680836,0.003642613,0.008049967,0.003227751,0.013345133,0.010571197,0.000466618,0.000345779,0.002605431
2013-02-28,-0.00826451,0,0.007215143,0.01572564,0.005810279,-0.007403189,0.009050096,0.002668426,0.001840018,-0.002308163,0.002100854,0.001398218,0.000691917,-0.000867702
2013-03-01,0.00826451,-0.054067221,-0.004585723,-0.005690066,-0.001739846,-0.009956234,-0.002254799,-0.00222268,0.003669795,0.002884389,0.004188445,0.00046555,0.0013824,0.00605816
2013-03-04,0.008196767,-0.057158414,-0.001971212,-0.002857026,-0.000580368,-0.024051966,-0.000451559,0.001334649,-0.006430832,0.005743872,0.002608821,0.001395352,-0.001036576,0.000430438
2013-03-05,0.055569851,0,0.009819956,-0.001431775,0.00116059,-0.000640913,0.003156696,0.002220277,0.00138098,0.008554646,0.006233893,-0.00046457,-0.000345824,-0.001293836
2013-03-06,0.019121041,0.057158414,0.002602148,0.024063406,-0.004650654,0.03341019,0.001799737,0,0.007793273,0.001702065,0.009278239,-0.000464985,0.001036576,-0.003460111
2013-03-07,0.003780723,0,0.00129859,-0.004204393,-0.002918423,-0.006843181,-0.000449936,-0.000443535,0.005464878,0.002264771,0.000513173,-0.002796183,-0.000690752,-0.005212686
2013-03-08,0.007518832,0,0.006468572,-0.005633967,-0.000584919,0.005602237,-0.000899781,-0.001776742,-0.000909151,0.003950968,0.010204166,-0.000933425,-0.001037741,-0.004365797
2013-03-11,-0.015094626,-0.057158414,0.00898586,0.031969487,0.005249516,0,0.00269686,0.004878482,0.000909151,0.00337504,0.000507306,-0.000934563,-0.000345779,-0.000874975
2013-03-12,-0.023077947,-0.060624622,-0.009631008,-0.008241961,0.001163567,0.017841192,0.002689258,-0.001770746,0.004078651,-0.002248415,-0.004067205,0.002334605,0.001037697,0.002187064
2013-03-13,0.030653741,0,-0.006472257,0.00687303,-0.004076317,-0.019704843,-0.010801052,-0.008905508,-0.007718621,0.001686818,0,-0.000933122,-0.000345764,0
2013-03-14,0.014981554,0,0.00194624,0.00954327,0.002330936,0,0,0.003126129,0.003185383,0.005043448,0.005587979,-0.000466921,0,-0.002624935
2013-03-15,0.022059718,0.060624622,0.003235072,-0.0164163,-0.003498875,0.00062158,0.006314715,0.002671643,0.002269102,-0.000559021,-0.001520774,0.003263811,0.000345764,0.004371072
2013-03-18,-0.010969031,-0.060624622,-0.014969434,0.00687303,0.000584045,0,-0.003152198,-0.004456313,-0.000453648,-0.006171244,-0.007639488,0,0,0.00521917
2013-03-19,0.036105005,0.060624622,-0.002626679,-0.00687303,-0.002922968,-0.001866107,-0.000451151,0.000892698,-0.001360867,-0.001689797,-0.003071984,0.003253589,0.000690901,0.003465052
2013-03-20,0.027973852,0,0.011114864,0.029893766,0.002338923,0.000622146,0,0.002228966,0.001814515,0.006181584,0.007153848,-0.000928159,-0.000345078,-0.004332748
2013-03-21,-0.003454235,0,-0.017049036,-0.002681098,-0.00193671,0.009388129,0.001543632,-0.005016559,-0.00333669,-0.007873917,-0.01229538,0.001396004,0.00145367,0.004215318
2013-03-22,0.013745921,0,0.005934172,-0.029974986,-0.001763548,-0.00371966,0,0.001794383,-0.001833364,0.006192022,0.005654107,0,-0.000691881,0.001299407
2013-03-25,0.016920877,-0.060624622,-0.015904771,-0.015331242,0.002350547,-0.015019332,0.000907061,-0.005393403,-0.001836559,-0.002809892,-0.008751804,0.000930093,0.00034571,-0.002166808
2013-03-26,0.049109704,-0.064538521,0.004665492,0.001403387,0.001174115,-0.007595009,0,0.004944669,0.000459442,0.0078475,0.005671599,-0.000465433,0,0.000433127
2013-03-27,-0.019355443,0.064538521,-0.016086514,0.008379969,0,0.009484852,-0.00045369,-0.004043664,0.005496785,-0.001117235,-0.0015436,0.000465433,0.000692224,0.005193379
2013-03-28,-0.013114942,0,0.010753113,0.009688694,0.009921196,-0.001889843,0.001359697,0.004043664,0.00319291,0.002790942,0,0.001392763,-0.000346052,0
2013-04-01,0.042009408,-0.064538521,-0.014815267,-0.004140808,-0.004073498,-0.011414043,0,-0.004043664,-0.00685375,-0.003349963,-0.016091654,0.000464437,0.000346052,0.001723888
2013-04-02,0.043350441,0,0.021477148,0,0.003493167,-0.02846245,0,0.004492398,-0.004135153,0.00446415,0.014545937,-0.00092863,0,-0.001723888
